id,lkp,bsk5,hsk,soluble_oxygen,ph,roundworms,conformity,price,reservoir_id,research_type_id,data
1,4900,1.75482,20.5283,4.3707,,0,1,35.6964,249,3,2014-02-22
2,3300,2.17729,16.3374,,8.15472,0,1,99.6372,111,4,2011-11-16
3,1200,1.74468,25.5898,,,0,1,40.8578,468,2,2011-07-14
4,1200,3.99791,24.5777,,,0,1,89.2216,772,5,2018-02-08
5,4800,3.86381,1.7032,8.75606,,0,1,35.3509,658,4,2010-12-20
6,1900,1.5985,29.8143,6.82839,,0,1,42.6777,433,3,2019-06-26
7,3500,3.86566,1.61447,3.18528,,0,1,33.5325,355,2,2010-08-05
8,4300,4.83815,8.81014,,6.34714,0,1,79.9964,944,4,2018-08-30
9,5500,5.42652,1.2616,6.33014,,0,1,66.4844,102,4,2011-05-09
10,5100,2.15157,18.3729,,6.7377,0,1,49.8539,643,3,2020-02-19
11,5900,4.85199,15.7067,,,0,1,27.1703,29,4,2011-07-10
12,2700,4.52903,15.1091,9.07246,,0,1,45.1083,1001,3,2015-08-31
13,5600,1.77797,25.4483,,,0,1,35.227,321,2,2010-05-02
14,3400,1.56875,19.3861,6.28472,,0,1,31.1753,990,1,2013-06-29
15,1500,3.46167,6.57686,,,0,0,72.2948,683,2,2015-06-08
16,2100,,17.3471,,6.71973,0,1,71.7667,655,4,2012-01-14
17,5400,5.69586,22.2901,,8.78166,0,1,85.2342,283,1,2015-09-18
18,3200,2.56891,24.3053,,,0,1,91.3264,616,4,2014-03-28
19,4500,1.91816,29.9907,,,0,1,22.1527,705,4,2012-09-08
20,,5.86304,28.2252,,,0,1,88.7341,702,1,2014-09-05
21,4800,3.75797,7.54962,,8.22418,0,1,90.1181,950,3,2014-08-28
22,2300,1.46489,,,,0,1,66.8779,94,2,2016-10-09
23,4300,1.79978,12.7535,,,0,1,44.4846,161,3,2010-08-27
24,3800,2.84566,16.606,,8.75191,0,1,31.6414,382,4,2017-01-16
25,2100,1.72192,15.3182,8.397,,0,1,61.0703,798,4,2020-08-05
26,5100,5.89707,3.24516,,,0,1,28.1435,170,4,2018-07-20
27,5900,,29.5847,3.92916,6.81805,0,1,64.0565,794,3,2010-06-10
28,4100,2.71248,,9.77472,,0,1,80.1862,308,2,2012-11-07
29,5700,,9.75229,,6.76936,0,1,16.5118,824,3,2011-12-16
30,4600,3.21019,20.7724,4.70701,7.0097,0,1,30.1368,887,2,2014-12-01
31,3400,1.31099,21.0474,,8.94177,0,1,80.8006,557,3,2012-11-28
32,4600,3.07538,6.71137,4.87064,6.14385,0,1,95.1887,717,2,2010-01-01
33,1100,2.95792,28.2827,,,0,1,71.9354,700,3,2013-04-11
34,4900,3.85803,,6.71347,6.65384,0,1,65.667,14,3,2017-12-08
35,1000,2.8305,19.2557,,8.02355,0,1,94.3845,992,4,2013-09-10
36,1500,2.37714,20.649,,,0,1,58.4075,807,2,2017-11-08
37,3200,3.3405,15.3019,4.07982,,0,1,60.5719,859,1,2019-09-01
38,5100,5.21267,6.55966,,7.77675,1,1,42.7976,63,2,2010-12-31
39,5600,2.38917,,9.24594,,0,1,87.9749,515,3,2016-02-02
40,2800,3.95907,10.314,,,0,1,83.4285,526,1,2010-12-18
41,2000,2.37713,13.1848,4.31749,8.4382,0,1,72.7946,273,2,2018-06-27
42,3300,,28.7508,,7.72458,0,1,36.6335,994,3,2014-07-01
43,3900,5.19438,1.29373,4.0815,,0,1,66.3275,692,2,2020-02-05
44,4200,3.04527,29.3288,,,0,1,22.3919,387,2,2016-07-08
45,2700,1.45771,25.9179,5.96541,,0,1,32.3995,435,4,2013-12-14
46,3700,4.14493,27.2975,,,0,1,11.7906,676,2,2015-12-28
47,3100,1.9649,23.1887,,,0,1,66.8728,678,2,2020-12-17
48,1200,3.29352,17.5842,,,0,1,36.499,473,1,2013-12-11
49,1600,1.42734,18.7684,,,0,1,62.2419,245,1,2020-09-22
50,2400,4.68028,18.8842,,,0,1,17.4773,354,1,2016-10-03
51,4600,3.95296,,,,0,1,81.0931,527,3,2012-10-23
52,5200,,27.9936,,6.13089,0,1,20.6053,1026,2,2020-03-01
53,1300,2.00219,7.26701,,6.16146,0,1,84.6054,347,1,2018-02-16
54,4600,,3.6679,3.18724,,0,1,63.6281,1043,4,2014-07-15
55,1600,,13.2448,5.28203,,0,1,45.5252,396,1,2012-02-29
56,2300,5.97151,7.06175,,8.13963,0,1,68.8185,156,4,2018-05-31
57,3800,2.45033,26.0657,,,0,1,65.1526,1021,3,2011-03-22
58,3400,1.46423,6.65966,,,0,1,19.2165,86,4,2015-07-14
59,5200,,,,,0,1,38.1513,974,2,2018-07-21
60,1100,3.06817,,,,0,1,17.2074,489,4,2013-06-17
61,3400,3.34202,17.7398,5.51104,7.47477,0,1,78.6212,639,1,2019-01-16
62,3300,2.86753,12.4137,7.55441,8.6879,0,1,53.3463,47,4,2018-10-13
63,3300,1.96673,8.77478,,,0,1,73.4845,121,3,2016-09-15
64,1400,,29.7314,,,0,1,46.3476,215,1,2017-06-24
