lkp,bsk5,hsk,soluble_oxygen,ph,roundworms,conformity
4900,1.75482,20.5283,4.3707,,0,1
3300,2.17729,16.3374,,8.15472,0,1
1200,1.74468,25.5898,,,0,1
1200,3.99791,24.5777,,,0,1
4800,3.86381,1.7032,8.75606,,0,1
1900,1.5985,29.8143,6.82839,,0,1
3500,3.86566,1.61447,3.18528,,0,1
4300,4.83815,8.81014,,6.34714,0,1
5500,5.42652,1.2616,6.33014,,0,1
5100,2.15157,18.3729,,6.7377,0,1
5900,4.85199,15.7067,,,0,1
2700,4.52903,15.1091,9.07246,,0,1
5600,1.77797,25.4483,,,0,1
3400,1.56875,19.3861,6.28472,,0,1
1500,3.46167,6.57686,,,0,0
2100,,17.3471,,6.71973,0,1
5400,5.69586,22.2901,,8.78166,0,1
3200,2.56891,24.3053,,,0,1
4500,1.91816,29.9907,,,0,1
,5.86304,28.2252,,,0,1
4800,3.75797,7.54962,,8.22418,0,1
2300,1.46489,,,,0,1
4300,1.79978,12.7535,,,0,1
3800,2.84566,16.606,,8.75191,0,1
2100,1.72192,15.3182,8.397,,0,1
5100,5.89707,3.24516,,,0,1
5900,,29.5847,3.92916,6.81805,0,1
4100,2.71248,,9.77472,,0,1
5700,,9.75229,,6.76936,0,1
4600,3.21019,20.7724,4.70701,7.0097,0,1
3400,1.31099,21.0474,,8.94177,0,1
4600,3.07538,6.71137,4.87064,6.14385,0,1
1100,2.95792,28.2827,,,0,1
4900,3.85803,,6.71347,6.65384,0,1
1000,2.8305,19.2557,,8.02355,0,1
1500,2.37714,20.649,,,0,1
3200,3.3405,15.3019,4.07982,,0,1
5100,5.21267,6.55966,,7.77675,1,1
5600,2.38917,,9.24594,,0,1
2800,3.95907,10.314,,,0,1
2000,2.37713,13.1848,4.31749,8.4382,0,1
3300,,28.7508,,7.72458,0,1
3900,5.19438,1.29373,4.0815,,0,1
4200,3.04527,29.3288,,,0,1
2700,1.45771,25.9179,5.96541,,0,1
3700,4.14493,27.2975,,,0,1
3100,1.9649,23.1887,,,0,1
1200,3.29352,17.5842,,,0,1
1600,1.42734,18.7684,,,0,1
2400,4.68028,18.8842,,,0,1
4600,3.95296,,,,0,1
5200,,27.9936,,6.13089,0,1
1300,2.00219,7.26701,,6.16146,0,1
4600,,3.6679,3.18724,,0,1
1600,,13.2448,5.28203,,0,1
2300,5.97151,7.06175,,8.13963,0,1
3800,2.45033,26.0657,,,0,1
